publication_number,query,abstract
US20180255542A1-20180906,MTC UE uplink control information PUCCH HARQ-ACK resource offset,"An embodiment of the present invention relates to a method for a machine type communication (MTC) user equipment (UE) to send uplink control information in a wireless communication system that supports a MTC. Specially, the method is configured to comprise: a step in which the MTC UE receives an MTC physical downlink control channel (MPDCCH) in a first sub-band from a base station; a step of receiving a physical downlink shared channel (PDSCH) on the basis of the MPDCCH; a step of determining a physical uplink control channel (PUCCH) resource for the PDSCH using a HARQ-ACK resource offset (ARO) indicated by the MPDCCH; and a step of sending the uplink control information via the PUCCH resource."
US20180255542A1-20180906,MPDCCH PDSCH resource allocation MTC,"An embodiment of the present invention relates to a method for a machine type communication (MTC) user equipment (UE) to send uplink control information in a wireless communication system that supports a MTC. Specially, the method is configured to comprise: a step in which the MTC UE receives an MTC physical downlink control channel (MPDCCH) in a first sub-band from a base station; a step of receiving a physical downlink shared channel (PDSCH) on the basis of the MPDCCH; a step of determining a physical uplink control channel (PUCCH) resource for the PDSCH using a HARQ-ACK resource offset (ARO) indicated by the MPDCCH; and a step of sending the uplink control information via the PUCCH resource."
US20180255542A1-20180906,Machine type communication uplink control wireless system,"An embodiment of the present invention relates to a method for a machine type communication (MTC) user equipment (UE) to send uplink control information in a wireless communication system that supports a MTC. Specially, the method is configured to comprise: a step in which the MTC UE receives an MTC physical downlink control channel (MPDCCH) in a first sub-band from a base station; a step of receiving a physical downlink shared channel (PDSCH) on the basis of the MPDCCH; a step of determining a physical uplink control channel (PUCCH) resource for the PDSCH using a HARQ-ACK resource offset (ARO) indicated by the MPDCCH; and a step of sending the uplink control information via the PUCCH resource."
US20180085538A1-20180329,glucose detection arterial monitoring system,"A safety warning system for detecting glucose in an arterial monitoring or flush system is disclosed. An example of the system comprises a receptacle configured to receive fluid from a line for connecting to a patient, and an indicator arranged to contact the fluid and configured to provide an indication of whether the fluid comprises glucose. The receptacle comprises a gas release path to enable the fluid to displace gas to contact the indicator."
US20180085538A1-20180329,safety warning system fluid glucose indicator,"A safety warning system for detecting glucose in an arterial monitoring or flush system is disclosed. An example of the system comprises a receptacle configured to receive fluid from a line for connecting to a patient, and an indicator arranged to contact the fluid and configured to provide an indication of whether the fluid comprises glucose. The receptacle comprises a gas release path to enable the fluid to displace gas to contact the indicator."
US20180085538A1-20180329,gas release receptacle glucose detection,"A safety warning system for detecting glucose in an arterial monitoring or flush system is disclosed. An example of the system comprises a receptacle configured to receive fluid from a line for connecting to a patient, and an indicator arranged to contact the fluid and configured to provide an indication of whether the fluid comprises glucose. The receptacle comprises a gas release path to enable the fluid to displace gas to contact the indicator."
US20180111744A1-20180426,article dispensing container flexible base,"The present disclosure is directed to a dispensing assembly and method for manufacturing same. The dispensing assembly includes a container having a plurality of exterior panels that define an internal chamber. Further, the exterior panels include a top panel having an opening configured to dispense a plurality of articles therethrough. The dispensing assembly also includes an article dispensing component housed within the internal chamber. The article dispensing component includes a base panel arranged with the top panel of the container so as to form an article storage area. Thus, the article storage area is configured to receive the plurality of articles. Further, the base panel is biased towards the top panel via one or more flexible members that are secured to the top panel. Accordingly, the flexible members are configured to allow movement of the base panel toward to the top panel as each article is dispensed from the opening."
US20180111744A1-20180426,biased dispensing assembly,"The present disclosure is directed to a dispensing assembly and method for manufacturing same. The dispensing assembly includes a container having a plurality of exterior panels that define an internal chamber. Further, the exterior panels include a top panel having an opening configured to dispense a plurality of articles therethrough. The dispensing assembly also includes an article dispensing component housed within the internal chamber. The article dispensing component includes a base panel arranged with the top panel of the container so as to form an article storage area. Thus, the article storage area is configured to receive the plurality of articles. Further, the base panel is biased towards the top panel via one or more flexible members that are secured to the top panel. Accordingly, the flexible members are configured to allow movement of the base panel toward to the top panel as each article is dispensed from the opening."
US20180111744A1-20180426,container with flexible member dispensing,"The present disclosure is directed to a dispensing assembly and method for manufacturing same. The dispensing assembly includes a container having a plurality of exterior panels that define an internal chamber. Further, the exterior panels include a top panel having an opening configured to dispense a plurality of articles therethrough. The dispensing assembly also includes an article dispensing component housed within the internal chamber. The article dispensing component includes a base panel arranged with the top panel of the container so as to form an article storage area. Thus, the article storage area is configured to receive the plurality of articles. Further, the base panel is biased towards the top panel via one or more flexible members that are secured to the top panel. Accordingly, the flexible members are configured to allow movement of the base panel toward to the top panel as each article is dispensed from the opening."
US20180246282A1-20180830,optical fiber connector assembly compressed spring,"This invention reveals a type of optical fibre connector assembly, comprising of a shell, an optical fibre adapter, an optical fibre connector and optical cable. The optical cable is provided with an optical cable securing device, an optical cable strengthening component being secured to the optical cable securing device, and the optical fibre within the optical cable passes through the optical cable securing device. The optical fibre connector assembly also comprises a first port end cap; the optical cable securing device is separate from the optical fibre connector, and fits within the accommodating cavity therein; the outer end of the end cap possesses an arrestor wall, which prevents the optical cable securing device from being pulled out of the accommodating cavity within the end cap; additionally there is a compressed spring provided between the end cap and the optical fibre adapter, the compressed spring being squeezed between the end surface of the end cap and the end surface of the optical fibre adapter. In this invention, since there is only a compressed spring provided on one side of the optical fibre adapter, the compressed spring being squeezed between the end cap and the end surface of the optical fibre adapter, the overall axial and radial size of the optical fibre connector assembly is reduced."
US20180246282A1-20180830,optical cable securing device optical fiber connector,"This invention reveals a type of optical fibre connector assembly, comprising of a shell, an optical fibre adapter, an optical fibre connector and optical cable. The optical cable is provided with an optical cable securing device, an optical cable strengthening component being secured to the optical cable securing device, and the optical fibre within the optical cable passes through the optical cable securing device. The optical fibre connector assembly also comprises a first port end cap; the optical cable securing device is separate from the optical fibre connector, and fits within the accommodating cavity therein; the outer end of the end cap possesses an arrestor wall, which prevents the optical cable securing device from being pulled out of the accommodating cavity within the end cap; additionally there is a compressed spring provided between the end cap and the optical fibre adapter, the compressed spring being squeezed between the end surface of the end cap and the end surface of the optical fibre adapter. In this invention, since there is only a compressed spring provided on one side of the optical fibre adapter, the compressed spring being squeezed between the end cap and the end surface of the optical fibre adapter, the overall axial and radial size of the optical fibre connector assembly is reduced."
US20180246282A1-20180830,optical fiber adapter end cap,"This invention reveals a type of optical fibre connector assembly, comprising of a shell, an optical fibre adapter, an optical fibre connector and optical cable. The optical cable is provided with an optical cable securing device, an optical cable strengthening component being secured to the optical cable securing device, and the optical fibre within the optical cable passes through the optical cable securing device. The optical fibre connector assembly also comprises a first port end cap; the optical cable securing device is separate from the optical fibre connector, and fits within the accommodating cavity therein; the outer end of the end cap possesses an arrestor wall, which prevents the optical cable securing device from being pulled out of the accommodating cavity within the end cap; additionally there is a compressed spring provided between the end cap and the optical fibre adapter, the compressed spring being squeezed between the end surface of the end cap and the end surface of the optical fibre adapter. In this invention, since there is only a compressed spring provided on one side of the optical fibre adapter, the compressed spring being squeezed between the end cap and the end surface of the optical fibre adapter, the overall axial and radial size of the optical fibre connector assembly is reduced."
US20180157123A1-20180607,LCD with quantum dot color filter and polarizer,"Provided is a liquid crystal display device, comprising a liquid crystal display panel, which includes an upper substrate, an opposite lower substrate, and a liquid crystal layer disposed between the upper substrate and the lower substrate, wherein a lower polarizing layer is provided on a side of the lower substrate facing the liquid crystal layer, and a quantum-dot color film layer is provided between the lower polarizing layer and the lower substrate. The liquid crystal display device has a higher color gamut and contrast, enabling better picture display."
US20180157123A1-20180607,liquid crystal display quantum dot film lower polarizer,"Provided is a liquid crystal display device, comprising a liquid crystal display panel, which includes an upper substrate, an opposite lower substrate, and a liquid crystal layer disposed between the upper substrate and the lower substrate, wherein a lower polarizing layer is provided on a side of the lower substrate facing the liquid crystal layer, and a quantum-dot color film layer is provided between the lower polarizing layer and the lower substrate. The liquid crystal display device has a higher color gamut and contrast, enabling better picture display."
US20180157123A1-20180607,quantum dot enhanced LCD contrast color gamut,"Provided is a liquid crystal display device, comprising a liquid crystal display panel, which includes an upper substrate, an opposite lower substrate, and a liquid crystal layer disposed between the upper substrate and the lower substrate, wherein a lower polarizing layer is provided on a side of the lower substrate facing the liquid crystal layer, and a quantum-dot color film layer is provided between the lower polarizing layer and the lower substrate. The liquid crystal display device has a higher color gamut and contrast, enabling better picture display."
US20180115232A1-20180426,"Linear actuator with inner and outer yoke, opposing coils, and magnet arrays","An actuator (202) includes a rod-shaped inner yoke (1) inserted through a cylindrical outer yoke (10); a support member that supports the outer yoke (10) so as to be linearly movable in an axial direction of the inner yoke (1); a first coil (2) and a second coil (3) wound around the inner yoke (1) with a gap provided between the first coil (2) and the second coil (3), the first coil (2) and the second coil (3) passing currents in mutually opposite directions; a first magnet array (11) provided on an inner peripheral part of the outer yoke (10) so as to face the first coil (2); and a second magnet array (12) provided on the inner peripheral part of the outer yoke (10) so as to face the second coil (3), magnetic poles of the second magnet array (12) being oriented in an opposite direction to magnetic poles of the first magnet array (11)."
US20180115232A1-20180426,Rod-shaped inner yoke actuator with cylindrical outer yoke and magnetic poles,"An actuator (202) includes a rod-shaped inner yoke (1) inserted through a cylindrical outer yoke (10); a support member that supports the outer yoke (10) so as to be linearly movable in an axial direction of the inner yoke (1); a first coil (2) and a second coil (3) wound around the inner yoke (1) with a gap provided between the first coil (2) and the second coil (3), the first coil (2) and the second coil (3) passing currents in mutually opposite directions; a first magnet array (11) provided on an inner peripheral part of the outer yoke (10) so as to face the first coil (2); and a second magnet array (12) provided on the inner peripheral part of the outer yoke (10) so as to face the second coil (3), magnetic poles of the second magnet array (12) being oriented in an opposite direction to magnetic poles of the first magnet array (11)."
US20180115232A1-20180426,"Actuator with linearly movable outer yoke, first and second coils with opposite current directions","An actuator (202) includes a rod-shaped inner yoke (1) inserted through a cylindrical outer yoke (10); a support member that supports the outer yoke (10) so as to be linearly movable in an axial direction of the inner yoke (1); a first coil (2) and a second coil (3) wound around the inner yoke (1) with a gap provided between the first coil (2) and the second coil (3), the first coil (2) and the second coil (3) passing currents in mutually opposite directions; a first magnet array (11) provided on an inner peripheral part of the outer yoke (10) so as to face the first coil (2); and a second magnet array (12) provided on the inner peripheral part of the outer yoke (10) so as to face the second coil (3), magnetic poles of the second magnet array (12) being oriented in an opposite direction to magnetic poles of the first magnet array (11)."
US20180156189A1-20180607,self-contained buoyancy power generation,"To improve and use a “buoyancy type power generation method”. A method for harnessing buoyancy and a device therefor are described as prior art in Patent No. JP 5789231 B2 “Buoyancy Type Power Generation Method”. The present invention, adds “self-supply of driving power” as a new feature to the prior art. That is, the present invention is “a self-contained power generation method and a device therefor, for driving itself by means of power produced by itself and for generating power that can be used industrially”. Presented are: a “gap operation type float” and a “rotary type float” which have simple operating methods and configurations as novel power generation devices of the present invention; various devices such as a self-reliant electric-power plant, a bubble injection water maker, a wired electric aircraft, and a seismic isolator as utilization inventions that use the power generation device of the present invention; and various uses of the power generation device of the present invention, for the respective industrial fields."
US20180156189A1-20180607,gap operation float power generation,"To improve and use a “buoyancy type power generation method”. A method for harnessing buoyancy and a device therefor are described as prior art in Patent No. JP 5789231 B2 “Buoyancy Type Power Generation Method”. The present invention, adds “self-supply of driving power” as a new feature to the prior art. That is, the present invention is “a self-contained power generation method and a device therefor, for driving itself by means of power produced by itself and for generating power that can be used industrially”. Presented are: a “gap operation type float” and a “rotary type float” which have simple operating methods and configurations as novel power generation devices of the present invention; various devices such as a self-reliant electric-power plant, a bubble injection water maker, a wired electric aircraft, and a seismic isolator as utilization inventions that use the power generation device of the present invention; and various uses of the power generation device of the present invention, for the respective industrial fields."
US20180156189A1-20180607,rotary float self-reliant power plant,"To improve and use a “buoyancy type power generation method”. A method for harnessing buoyancy and a device therefor are described as prior art in Patent No. JP 5789231 B2 “Buoyancy Type Power Generation Method”. The present invention, adds “self-supply of driving power” as a new feature to the prior art. That is, the present invention is “a self-contained power generation method and a device therefor, for driving itself by means of power produced by itself and for generating power that can be used industrially”. Presented are: a “gap operation type float” and a “rotary type float” which have simple operating methods and configurations as novel power generation devices of the present invention; various devices such as a self-reliant electric-power plant, a bubble injection water maker, a wired electric aircraft, and a seismic isolator as utilization inventions that use the power generation device of the present invention; and various uses of the power generation device of the present invention, for the respective industrial fields."
US20180306337A1-20181025,transmission control plate flat seal,"A transmission control device has two mutually oppositely arranged counter-components, for example control boxes, and a planar transmission control plate, which is arranged between the two counter-components. The transmission control plate seals the clearance between the two counter-components or their channel portions and bores in the form of a flat seal. The plate also provides through-openings between channels or bores, respectively, in the opposing counter-components, where the fluid in the channels controls the function of a transmission. The sealing function is realized by stamped beads and/or partial coatings. Transmission control plates therefore have fluid through-flow openings so the fluid can flow through from one side of the plate to the other side of the plate. Additional functional elements can be present in the through-flow openings, for example valve elements which stop the through-flow in one direction or combined valve-orifice elements, which restrict the through-flow in one or both directions."
US20180306337A1-20181025,valve-orifice elements transmission control,"A transmission control device has two mutually oppositely arranged counter-components, for example control boxes, and a planar transmission control plate, which is arranged between the two counter-components. The transmission control plate seals the clearance between the two counter-components or their channel portions and bores in the form of a flat seal. The plate also provides through-openings between channels or bores, respectively, in the opposing counter-components, where the fluid in the channels controls the function of a transmission. The sealing function is realized by stamped beads and/or partial coatings. Transmission control plates therefore have fluid through-flow openings so the fluid can flow through from one side of the plate to the other side of the plate. Additional functional elements can be present in the through-flow openings, for example valve elements which stop the through-flow in one direction or combined valve-orifice elements, which restrict the through-flow in one or both directions."
US20180306337A1-20181025,stamped beads sealing transmission control plate,"A transmission control device has two mutually oppositely arranged counter-components, for example control boxes, and a planar transmission control plate, which is arranged between the two counter-components. The transmission control plate seals the clearance between the two counter-components or their channel portions and bores in the form of a flat seal. The plate also provides through-openings between channels or bores, respectively, in the opposing counter-components, where the fluid in the channels controls the function of a transmission. The sealing function is realized by stamped beads and/or partial coatings. Transmission control plates therefore have fluid through-flow openings so the fluid can flow through from one side of the plate to the other side of the plate. Additional functional elements can be present in the through-flow openings, for example valve elements which stop the through-flow in one direction or combined valve-orifice elements, which restrict the through-flow in one or both directions."
US20180353949A1-20181213,nucleic acid sequencing droplet printing,An apparatus for sequencing a nucleic acid by printing droplets at least some of which contain single nucleotides derived from the nucleic acid is provided. It is characterised by comprising; •a planar substrate having a face with droplet-receiving locations arranged in at least one track parallel to a first axis defining the substrate; ⋅a printer head comprising a plurality of droplet-dispensing nozzle groups juxtaposed above the droplet-receiving locations so that each nozzle group can in turn dispense a droplet into the droplet-receiving locations; •a means for stepping the printer head along the first axis relative to the droplet-receiving locations; ⋅a nucleotide-generating site upstream of the printer head by means of which an ordered stream of single nucleotides is created from the nucleic acid and delivered to a first droplet-dispensing nozzle group; •at least one source of incident electromagnetic radiation adapted to illuminate the droplet-receiving locations and ⋅at least one photodetector to detect adapted to detect fluorescence radiation emitted by each droplet-receiving location after illumination.
US20180353949A1-20181213,planar substrate droplet-receiving locations nucleotide sequencing,An apparatus for sequencing a nucleic acid by printing droplets at least some of which contain single nucleotides derived from the nucleic acid is provided. It is characterised by comprising; •a planar substrate having a face with droplet-receiving locations arranged in at least one track parallel to a first axis defining the substrate; ⋅a printer head comprising a plurality of droplet-dispensing nozzle groups juxtaposed above the droplet-receiving locations so that each nozzle group can in turn dispense a droplet into the droplet-receiving locations; •a means for stepping the printer head along the first axis relative to the droplet-receiving locations; ⋅a nucleotide-generating site upstream of the printer head by means of which an ordered stream of single nucleotides is created from the nucleic acid and delivered to a first droplet-dispensing nozzle group; •at least one source of incident electromagnetic radiation adapted to illuminate the droplet-receiving locations and ⋅at least one photodetector to detect adapted to detect fluorescence radiation emitted by each droplet-receiving location after illumination.
US20180353949A1-20181213,fluorescence detection nucleotide sequencing printer head,An apparatus for sequencing a nucleic acid by printing droplets at least some of which contain single nucleotides derived from the nucleic acid is provided. It is characterised by comprising; •a planar substrate having a face with droplet-receiving locations arranged in at least one track parallel to a first axis defining the substrate; ⋅a printer head comprising a plurality of droplet-dispensing nozzle groups juxtaposed above the droplet-receiving locations so that each nozzle group can in turn dispense a droplet into the droplet-receiving locations; •a means for stepping the printer head along the first axis relative to the droplet-receiving locations; ⋅a nucleotide-generating site upstream of the printer head by means of which an ordered stream of single nucleotides is created from the nucleic acid and delivered to a first droplet-dispensing nozzle group; •at least one source of incident electromagnetic radiation adapted to illuminate the droplet-receiving locations and ⋅at least one photodetector to detect adapted to detect fluorescence radiation emitted by each droplet-receiving location after illumination.
US20180164519A1-20180614,transceiver module board connector,"In a transceiver module, when one end portion of a module board (18) is inserted and connected to a concave portion (16R) of a plug connector (16), a projection portion (16PP) formed on the periphery of the concave portion (16R) of the plug connector (16) is fitted into a notch portion (18PH) as one end surface of the module board (18) comes into contact with an inner peripheral surface that forms the concave portion (16R)."
US20180164519A1-20180614,concave plug connector module insertion,"In a transceiver module, when one end portion of a module board (18) is inserted and connected to a concave portion (16R) of a plug connector (16), a projection portion (16PP) formed on the periphery of the concave portion (16R) of the plug connector (16) is fitted into a notch portion (18PH) as one end surface of the module board (18) comes into contact with an inner peripheral surface that forms the concave portion (16R)."
US20180164519A1-20180614,module board notch projection connector,"In a transceiver module, when one end portion of a module board (18) is inserted and connected to a concave portion (16R) of a plug connector (16), a projection portion (16PP) formed on the periphery of the concave portion (16R) of the plug connector (16) is fitted into a notch portion (18PH) as one end surface of the module board (18) comes into contact with an inner peripheral surface that forms the concave portion (16R)."
US20180200301A1-20180719,hypoxia-treated mesenchymal stem cells inflammatory diseases,"The present invention relates to a hypoxia-treated mesenchymal stem cell and the use thereof. The present invention discloses for the first time that treating mesenchymal stem cells with hypoxia can significantly promote alleviating or therapeutic effects of mesenchymal stem cells on inflammatory diseases. The present invention also discloses that the hypoxia-treated mesenchymal stem cell is capable of producing insulin-like growth factor-2, which plays a central role in the treatment of inflammatory diseases with the hypoxia-treated mesenchymal stem cell."
US20180200301A1-20180719,mesenchymal stem cells insulin-like growth factor-2 inflammatory disease treatment,"The present invention relates to a hypoxia-treated mesenchymal stem cell and the use thereof. The present invention discloses for the first time that treating mesenchymal stem cells with hypoxia can significantly promote alleviating or therapeutic effects of mesenchymal stem cells on inflammatory diseases. The present invention also discloses that the hypoxia-treated mesenchymal stem cell is capable of producing insulin-like growth factor-2, which plays a central role in the treatment of inflammatory diseases with the hypoxia-treated mesenchymal stem cell."
US20180200301A1-20180719,hypoxia mesenchymal stem cell therapy,"The present invention relates to a hypoxia-treated mesenchymal stem cell and the use thereof. The present invention discloses for the first time that treating mesenchymal stem cells with hypoxia can significantly promote alleviating or therapeutic effects of mesenchymal stem cells on inflammatory diseases. The present invention also discloses that the hypoxia-treated mesenchymal stem cell is capable of producing insulin-like growth factor-2, which plays a central role in the treatment of inflammatory diseases with the hypoxia-treated mesenchymal stem cell."
US20180289667A1-20181011,lovastatin analog irritable bowel syndrome treatment,"The present invention relates to, in part, methods for the treatment of methanogen-associated disorders such as, for example, Irritable Bowel Syndrome (IBS) using at least one anti-methanogenic lovastatin analog or derivative. In addition, modified-release formulations comprising at least one anti-methanogenic lovastatin analog or derivative are provided which release the anti-methanogenic lovastatin analog or derivative in the gastrointestinal tract."
US20180289667A1-20181011,anti-methanogenic statin modified release gastrointestinal,"The present invention relates to, in part, methods for the treatment of methanogen-associated disorders such as, for example, Irritable Bowel Syndrome (IBS) using at least one anti-methanogenic lovastatin analog or derivative. In addition, modified-release formulations comprising at least one anti-methanogenic lovastatin analog or derivative are provided which release the anti-methanogenic lovastatin analog or derivative in the gastrointestinal tract."
US20180289667A1-20181011,methanogen associated disorder lovastatin derivative,"The present invention relates to, in part, methods for the treatment of methanogen-associated disorders such as, for example, Irritable Bowel Syndrome (IBS) using at least one anti-methanogenic lovastatin analog or derivative. In addition, modified-release formulations comprising at least one anti-methanogenic lovastatin analog or derivative are provided which release the anti-methanogenic lovastatin analog or derivative in the gastrointestinal tract."
US20180148148A1-20180531,inflatable wind powered sports equipment,The invention relates to an inflatable rig for wind-powered sports equipment and a sailing rig set comprising such rigs.
US20180148148A1-20180531,sailing rig set inflatable,The invention relates to an inflatable rig for wind-powered sports equipment and a sailing rig set comprising such rigs.
US20180148148A1-20180531,windsurfing inflatable rig,The invention relates to an inflatable rig for wind-powered sports equipment and a sailing rig set comprising such rigs.
US20180193792A1-20180712,Gas separation unit with rotary active valve,"Gas separation unit for separation of a gas component from a process gas stream, said separation unit comprising a stator and a rotor comprising a plurality of sectors, each sector containing a separation device arranged to separate the gas component from the process gas stream which is led into the separation device and each sector being fluidically connected with at least one valve. The valve is a rotary active valve which comprises a rotor open area which is located at the rotor and a stator open area which is located at the stator. The rotor open area and the stator open area can overlap and can be laterally separated from each other by rotation of the rotor relative to the stator. In this way, the valve can at least partially be opened and closed. The extent of overlap of the rotor open area and the stator open area defines the extent of opening and closing of the valve, respectively. The extent of overlap corresponds to the extent of partial opening of the valve."
US20180193792A1-20180712,Rotor-stator gas separation valve overlap,"Gas separation unit for separation of a gas component from a process gas stream, said separation unit comprising a stator and a rotor comprising a plurality of sectors, each sector containing a separation device arranged to separate the gas component from the process gas stream which is led into the separation device and each sector being fluidically connected with at least one valve. The valve is a rotary active valve which comprises a rotor open area which is located at the rotor and a stator open area which is located at the stator. The rotor open area and the stator open area can overlap and can be laterally separated from each other by rotation of the rotor relative to the stator. In this way, the valve can at least partially be opened and closed. The extent of overlap of the rotor open area and the stator open area defines the extent of opening and closing of the valve, respectively. The extent of overlap corresponds to the extent of partial opening of the valve."
US20180193792A1-20180712,Process gas stream separation using rotary valve,"Gas separation unit for separation of a gas component from a process gas stream, said separation unit comprising a stator and a rotor comprising a plurality of sectors, each sector containing a separation device arranged to separate the gas component from the process gas stream which is led into the separation device and each sector being fluidically connected with at least one valve. The valve is a rotary active valve which comprises a rotor open area which is located at the rotor and a stator open area which is located at the stator. The rotor open area and the stator open area can overlap and can be laterally separated from each other by rotation of the rotor relative to the stator. In this way, the valve can at least partially be opened and closed. The extent of overlap of the rotor open area and the stator open area defines the extent of opening and closing of the valve, respectively. The extent of overlap corresponds to the extent of partial opening of the valve."
US20180112165A1-20180426,bioreactor algae high density light wavelength,"The invention relates to a bioreactor comprising a tank containing a culture medium in which a cell culture composed of algae cells is dispersed. The cell culture of algae has a concentration greater than 0.1 g/L in the culture medium, and each algal cell has a minimum absorption in a specific range of wavelengths of light. The bioreactor comprises a light source that is capable of emitting incident light in the direction of the tank, 60% of the photons of the incident light having a wavelength which is included in said specific range of wavelengths of light. The invention also relates to the use of the bioreactor for the production of biomass."
US20180112165A1-20180426,algae cell culture bioreactor light source,"The invention relates to a bioreactor comprising a tank containing a culture medium in which a cell culture composed of algae cells is dispersed. The cell culture of algae has a concentration greater than 0.1 g/L in the culture medium, and each algal cell has a minimum absorption in a specific range of wavelengths of light. The bioreactor comprises a light source that is capable of emitting incident light in the direction of the tank, 60% of the photons of the incident light having a wavelength which is included in said specific range of wavelengths of light. The invention also relates to the use of the bioreactor for the production of biomass."
US20180112165A1-20180426,bioreactor algae biomass production,"The invention relates to a bioreactor comprising a tank containing a culture medium in which a cell culture composed of algae cells is dispersed. The cell culture of algae has a concentration greater than 0.1 g/L in the culture medium, and each algal cell has a minimum absorption in a specific range of wavelengths of light. The bioreactor comprises a light source that is capable of emitting incident light in the direction of the tank, 60% of the photons of the incident light having a wavelength which is included in said specific range of wavelengths of light. The invention also relates to the use of the bioreactor for the production of biomass."
US20180143243A1-20180524,strip conductor error detection semiconductor,"An assembly of strip conductors for determining errors in a semiconductor circuit, the strip conductors may be situated on a level of the semiconductor circuit. The assembly includes multiple sections, the sections being arranged as a series circuit, each section including a number of strip conductors, the number of strip conductors in the particular sections being different, each section including a start area and an end area, a voltage difference value between the start area and the end area of the particular section being detectable, and the voltage difference values of the particular sections being different in the case of an error."
US20180143243A1-20180524,series circuit voltage difference error detection,"An assembly of strip conductors for determining errors in a semiconductor circuit, the strip conductors may be situated on a level of the semiconductor circuit. The assembly includes multiple sections, the sections being arranged as a series circuit, each section including a number of strip conductors, the number of strip conductors in the particular sections being different, each section including a start area and an end area, a voltage difference value between the start area and the end area of the particular section being detectable, and the voltage difference values of the particular sections being different in the case of an error."
US20180143243A1-20180524,semiconductor circuit strip conductor assembly error,"An assembly of strip conductors for determining errors in a semiconductor circuit, the strip conductors may be situated on a level of the semiconductor circuit. The assembly includes multiple sections, the sections being arranged as a series circuit, each section including a number of strip conductors, the number of strip conductors in the particular sections being different, each section including a start area and an end area, a voltage difference value between the start area and the end area of the particular section being detectable, and the voltage difference values of the particular sections being different in the case of an error."
US20180198705A1-20180712,Service Function Chain IPv6 implementation,"A method and device for implementing a Service Function Chain (SFC) are provided. The method is applied to a node on the SFC, and the method includes that: SFC information is encapsulated in an Internet Protocol version 6 (IPv6) of an IPv6 packet; and the IPv6 packet is sent according to the SFC information. After the IPv6 packet containing the SFC information is received, the SFC information is parsed; and an IPv6 address of a next-hop node of a Service Function Path (SFP) is acquired as a destination address, and the IPv6 packet is sent to the destination address."
US20180198705A1-20180712,IPv6 packet encapsulation SFC information,"A method and device for implementing a Service Function Chain (SFC) are provided. The method is applied to a node on the SFC, and the method includes that: SFC information is encapsulated in an Internet Protocol version 6 (IPv6) of an IPv6 packet; and the IPv6 packet is sent according to the SFC information. After the IPv6 packet containing the SFC information is received, the SFC information is parsed; and an IPv6 address of a next-hop node of a Service Function Path (SFP) is acquired as a destination address, and the IPv6 packet is sent to the destination address."
US20180198705A1-20180712,Service Function Path next-hop IPv6 address,"A method and device for implementing a Service Function Chain (SFC) are provided. The method is applied to a node on the SFC, and the method includes that: SFC information is encapsulated in an Internet Protocol version 6 (IPv6) of an IPv6 packet; and the IPv6 packet is sent according to the SFC information. After the IPv6 packet containing the SFC information is received, the SFC information is parsed; and an IPv6 address of a next-hop node of a Service Function Path (SFP) is acquired as a destination address, and the IPv6 packet is sent to the destination address."
US20180171845A1-20180621,turbine exhaust system bypass valve,"The invention relates to an engine assembly (1) comprising a turbine (2) and an exhaust system removing the gasses from the engine and comprising a first pipe (4) leading from a first manifold (5) and a second discharge pipe (6) leading from a second manifold (7), the turbine (2) comprising a casing (2c) surrounding it and an energy-recovering impeller, the first pipe (4) opening into a main expansion passage housing the impeller. The second pipe (6) opens into at least one bypass portion (8) internal to the casing (2c) and bypassing the main expansion passage, the main expansion passage and said at least one bypass portion (8) meeting at an outlet face (2b) of the casing (2c), the main expansion passage comprising, inside the turbine (2), a valve for regulating the flow of exhaust gas passing through it."
US20180171845A1-20180621,engine assembly energy-recovering impeller,"The invention relates to an engine assembly (1) comprising a turbine (2) and an exhaust system removing the gasses from the engine and comprising a first pipe (4) leading from a first manifold (5) and a second discharge pipe (6) leading from a second manifold (7), the turbine (2) comprising a casing (2c) surrounding it and an energy-recovering impeller, the first pipe (4) opening into a main expansion passage housing the impeller. The second pipe (6) opens into at least one bypass portion (8) internal to the casing (2c) and bypassing the main expansion passage, the main expansion passage and said at least one bypass portion (8) meeting at an outlet face (2b) of the casing (2c), the main expansion passage comprising, inside the turbine (2), a valve for regulating the flow of exhaust gas passing through it."
US20180171845A1-20180621,turbine casing exhaust gas flow regulation,"The invention relates to an engine assembly (1) comprising a turbine (2) and an exhaust system removing the gasses from the engine and comprising a first pipe (4) leading from a first manifold (5) and a second discharge pipe (6) leading from a second manifold (7), the turbine (2) comprising a casing (2c) surrounding it and an energy-recovering impeller, the first pipe (4) opening into a main expansion passage housing the impeller. The second pipe (6) opens into at least one bypass portion (8) internal to the casing (2c) and bypassing the main expansion passage, the main expansion passage and said at least one bypass portion (8) meeting at an outlet face (2b) of the casing (2c), the main expansion passage comprising, inside the turbine (2), a valve for regulating the flow of exhaust gas passing through it."
